交易日期,开盘价,最高价,最低价,收盘价,amount,当日净流入,北向资金流_低阈值,北向资金流_高阈值,signal,pos,equity_change,benchmark
2015-05-21,4768.69,4841.62,4746.03,4840.98,305054537.0,2012000000.0,665000000.0000002,1766999999.9999998,,1.0,0.0180704635880373,1.0294175186703638
2015-05-26,5140.8,5199.29,5063.15,5198.92,487949359.0,3588000000.0,680666666.6666667,1790999999.999999,,1.0,0.0738244718240315,1.105532211693857
2015-05-27,5216.17,5226.84,5126.86,5181.43,470798730.0,343000000.0,696333333.3333335,1807333333.333333,0.0,1.0,-0.0034788982401022,1.1018130241736557
2015-05-28,5174.1,5213.18,4831.33,4834.01,571829047.0,-3125000000.0,665000000.0000002,1802999999.9999995,,0.0,0.0,1.027935372471633
2015-05-29,4839.53,4924.3,4665.52,4840.83,427878859.0,2295000000.0,657000000.0,1790999999.999999,1.0,0.0,0.0,1.0293856216933466
2015-06-01,4862.76,5079.32,4835.77,5076.18,417503741.0,1934000000.0,661000000.0,1807333333.333333,,1.0,0.0483622286576799,1.0794319786332782
2015-06-02,5091.27,5162.56,5047.08,5161.87,412973196.0,481000000.0,665000000.0000002,1816000000.0,0.0,1.0,0.0167159137550749,1.0976536583706171
2015-06-03,5176.6,5186.97,5059.5,5143.59,414258270.0,218000000.0,657000000.0,1811666666.6666665,,0.0,0.0,1.0937664801047922
2015-06-04,5156.01,5194.23,4863.46,5181.42,482767268.0,-260000000.0,651333333.3333334,1807333333.333333,,0.0,0.0,1.101810897708521
2015-06-05,5254.9,5288.34,5104.18,5230.55,545961196.0,-609000000.0,648000000.0,1802999999.9999995,,0.0,0.0,1.1122582209142098
2015-06-08,5259.41,5370.61,5202.6,5353.75,637313237.0,-540000000.0,643333333.3333334,1790999999.999999,,0.0,0.0,1.1384562713709745
2015-06-09,5379.47,5380.43,5251.21,5317.46,570427263.0,-1262000000.0,634666666.6666667,1778999999.999999,,0.0,0.0,1.130739329397955
2015-06-10,5254.3,5374.83,5209.68,5309.11,442165676.0,1739000000.0,622000000.0000001,1766999999.9999998,,0.0,0.0,1.1289637310106662
2015-06-11,5305.14,5329.29,5248.16,5306.59,392338755.0,-866000000.0,628333333.3333334,1762333333.333333,0.0,0.0,0.0,1.128427861796778
2015-06-12,5329.28,5351.65,5283.09,5335.12,430131386.0,1548000000.0,620000000.0,1757666666.6666665,,0.0,0.0,1.1344946668254423
2015-06-15,5354.01,5362.45,5207.31,5221.17,475745703.0,-1147000000.0,622000000.0000001,1753000000.0,0.0,0.0,0.0,1.1102635966180698
2015-06-16,5165.02,5204.3,5015.27,5064.82,411675638.0,65000000.0,618000000.0,1748666666.6666665,,0.0,0.0,1.0770163142405116
2015-06-17,5072.31,5158.37,4949.29,5138.83,397124187.0,-861000000.0,609666666.6666667,1744333333.333333,,0.0,0.0,1.0927542827007808
